transaction_id,transaction_date,drug_category,product_id,region,channel,customer_segment,units_sold,unit_price,gross_sales,discount_rate,discount_amount,net_sales,campaign_flag,month,quarter,average_selling_price
TXN-00019554,2024-01-01,Nephrology,NEP-08,South,Distributor,Public Health,24,52.75,1265.92,0.2742,347.15,918.77,0,2024-01,2024Q1,38.28
TXN-00015234,2024-01-01,Pediatrics,PED-05,South,Hospital,Tier-2 Clinics,13,73.12,950.51,0.311,295.56,654.95,0,2024-01,2024Q1,50.38
TXN-00005466,2024-01-01,Hormonal Therapy,HOR-03,North,Distributor,Independent Pharmacies,22,60.47,1330.38,0.3308,440.11,890.27,0,2024-01,2024Q1,40.47
TXN-00010244,2024-01-01,Women Health,WOM-06,South,Retail,Independent Pharmacies,15,90.4,1355.96,0.0696,94.4,1261.55,0,2024-01,2024Q1,84.1
TXN-00017841,2024-01-01,Diuretics,DIU-08,West,Retail,Specialty Centers,39,116.63,4548.38,0.0658,299.43,4248.95,0,2024-01,2024Q1,108.95
TXN-00017857,2024-01-01,ENT,ENT-02,East,Hospital,Retail Chains,27,48.26,1303.01,0.1365,177.8,1125.21,0,2024-01,2024Q1,41.67
TXN-00001423,2024-01-01,Hormonal Therapy,HOR-04,North,Retail,Tier-1 Hospitals,20,65.8,1316.0,0.1281,168.6,1147.39,0,2024-01,2024Q1,57.37
TXN-00019600,2024-01-01,Probiotics,PRO-07,Central,Online,Independent Pharmacies,31,106.31,3295.76,0.0975,321.2,2974.56,0,2024-01,2024Q1,95.95
TXN-00018898,2024-01-01,Dermatology,DER-05,East,Distributor,Independent Pharmacies,42,121.26,5092.97,0.1977,1007.12,4085.85,0,2024-01,2024Q1,97.28
TXN-00022983,2024-01-01,Oncology Support,ONC-04,South,Hospital,Independent Pharmacies,5,66.53,332.65,0.2043,67.95,264.7,0,2024-01,2024Q1,52.94
TXN-00001606,2024-01-01,Anti-malarial,ANT-06,West,Retail,Retail Chains,42,80.41,3377.34,0.0649,219.3,3158.04,0,2024-01,2024Q1,75.19
TXN-00018227,2024-01-01,Anti-inflammatory,ANT-02,West,Distributor,Tier-2 Clinics,27,62.2,1679.3,0.0937,157.41,1521.89,0,2024-01,2024Q1,56.37
TXN-00019215,2024-01-01,Antidiabetics,ANT-02,West,Hospital,Public Health,24,50.24,1205.82,0.1917,231.16,974.66,0,2024-01,2024Q1,40.61
TXN-00000652,2024-01-01,Smoking Cessation,SMO-01,East,Retail,Tier-2 Clinics,37,104.75,3875.62,0.1802,698.58,3177.04,0,2024-01,2024Q1,85.87
TXN-00008448,2024-01-01,Smoking Cessation,SMO-02,East,Online,Tier-2 Clinics,34,96.04,3265.46,0.3306,1079.66,2185.8,0,2024-01,2024Q1,64.29
TXN-00001480,2024-01-01,Lipid Management,LIP-07,Central,Retail,Independent Pharmacies,4,33.7,134.8,0.2209,29.78,105.02,0,2024-01,2024Q1,26.26
TXN-00006070,2024-01-01,Rheumatology,RHE-01,North,Hospital,Independent Pharmacies,23,49.26,1132.97,0.2092,237.02,895.95,0,2024-01,2024Q1,38.95
TXN-00024146,2024-01-01,ENT,ENT-04,North,Hospital,Tier-2 Clinics,17,49.66,844.26,0.2229,188.18,656.08,0,2024-01,2024Q1,38.59
TXN-00011404,2024-01-01,Anticoagulants,ANT-02,West,Government,Retail Chains,38,123.99,4711.73,0.2226,1048.83,3662.9,0,2024-01,2024Q1,96.39
TXN-00019266,2024-01-01,Endocrinology,END-03,South,Retail,Tier-1 Hospitals,24,102.14,2451.39,0.0777,190.39,2261.0,0,2024-01,2024Q1,94.21
TXN-00014639,2024-01-01,Minerals,MIN-02,South,Retail,Retail Chains,14,60.59,848.28,0.2126,180.31,667.97,0,2024-01,2024Q1,47.71
TXN-00021004,2024-01-01,Smoking Cessation,SMO-06,West,Retail,Retail Chains,41,105.11,4309.47,0.0315,135.7,4173.77,0,2024-01,2024Q1,101.8
TXN-00010128,2024-01-01,Renal Care,REN-01,North,Hospital,Specialty Centers,20,64.12,1282.41,0.0947,121.41,1161.0,0,2024-01,2024Q1,58.05
TXN-00013182,2024-01-01,Antihistamines,ANT-03,East,Retail,Retail Chains,38,122.95,4671.93,0.1191,556.35,4115.57,0,2024-01,2024Q1,108.3
TXN-00019395,2024-01-01,Hypertension,HYP-01,Central,Retail,Tier-2 Clinics,26,54.53,1417.78,0.1971,279.51,1138.27,1,2024-01,2024Q1,43.78
TXN-00013226,2024-01-01,Vaccines,VAC-01,North,Distributor,Tier-1 Hospitals,25,64.7,1617.39,0.1727,279.31,1338.08,0,2024-01,2024Q1,53.52
TXN-00007447,2024-01-01,ENT,ENT-06,Central,Retail,Retail Chains,15,47.79,716.86,0.071,50.91,665.95,0,2024-01,2024Q1,44.4
TXN-00002838,2024-01-01,Ophthalmology,OPH-08,South,Retail,Independent Pharmacies,21,59.93,1258.55,0.2194,276.06,982.48,0,2024-01,2024Q1,46.78
TXN-00004247,2024-01-01,Critical Care,CRI-06,North,Distributor,Tier-2 Clinics,27,95.35,2574.35,0.3069,790.13,1784.21,0,2024-01,2024Q1,66.08
TXN-00006527,2024-01-01,Hypertension,HYP-06,North,Retail,Retail Chains,23,55.9,1285.78,0.1926,247.65,1038.13,0,2024-01,2024Q1,45.14
TXN-00019493,2024-01-01,Probiotics,PRO-08,South,Retail,Retail Chains,46,111.99,5151.66,0.2043,1052.23,4099.42,0,2024-01,2024Q1,89.12
