transaction_id,transaction_date,drug_category,product_id,region,channel,customer_segment,units_sold,unit_price,gross_sales,discount_rate,discount_amount,net_sales,campaign_flag
TXN-00019083,2024-01-01,Hypertension,HYP-04,North,Distributor,Tier-1 Hospitals,50,69.84,3492.11,0.1491,520.81,2971.3,0
TXN-00005109,2024-01-01,Cardiology,CAR-08,South,Retail,Public Health,10,84.05,840.49,0.1083,91.06,749.43,0
TXN-00023168,2024-01-01,Hypertension,HYP-04,West,Hospital,Tier-2 Clinics,43,66.94,2878.25,0.1735,499.44,2378.81,1
TXN-00001665,2024-01-01,Allergy,ALL-01,East,Hospital,Retail Chains,33,65.32,2155.49,0.0675,145.49,2010.0,0
TXN-00001608,2024-01-01,Wound Care,WOU-04,East,Distributor,Retail Chains,47,76.18,3580.59,0.0987,353.38,3227.21,0
TXN-00019451,2024-01-01,Neurology,NEU-05,East,Distributor,Tier-1 Hospitals,42,49.09,2061.9,0.1278,263.49,1798.42,0
TXN-00005651,2024-01-01,Immunology,IMM-08,North,Distributor,Tier-1 Hospitals,28,35.9,1005.33,0.2013,202.34,802.98,0
TXN-00008633,2024-01-01,Women Health,WOM-01,South,Hospital,Tier-2 Clinics,5,22.06,110.32,0.2337,25.78,84.54,1
TXN-00000837,2024-01-01,Immunology,IMM-04,North,Distributor,Tier-2 Clinics,45,37.93,1706.83,0.2239,382.21,1324.63,1
TXN-00006712,2024-01-01,Lipid Management,LIP-01,South,Distributor,Independent Pharmacies,8,99.57,796.58,0.1044,83.14,713.45,0
TXN-00001791,2024-01-01,Respiratory,RES-04,West,Hospital,Public Health,17,40.48,688.24,0.1086,74.72,613.51,0
TXN-00011589,2024-01-01,Anticoagulants,ANT-03,West,Distributor,Retail Chains,15,33.89,508.39,0.2297,116.76,391.63,0
TXN-00010429,2024-01-01,Antifungals,ANT-05,South,Distributor,Tier-2 Clinics,43,58.85,2530.55,0.2661,673.3,1857.25,0
TXN-00015419,2024-01-01,Dermatology,DER-02,West,Distributor,Tier-1 Hospitals,20,38.97,779.38,0.114,88.85,690.53,0
TXN-00019400,2024-01-01,Analgesics,ANA-04,South,Retail,Independent Pharmacies,9,123.78,1114.05,0.1108,123.39,990.66,0
TXN-00019785,2024-01-01,Hepatology,HEP-03,West,Hospital,Tier-2 Clinics,36,186.07,6698.58,0.203,1359.96,5338.62,0
TXN-00021189,2024-01-01,Lipid Management,LIP-05,North,Distributor,Independent Pharmacies,11,110.36,1213.92,0.2137,259.37,954.55,1
TXN-00010313,2024-01-01,Antihistamines,ANT-01,West,Hospital,Independent Pharmacies,31,57.8,1791.73,0.172,308.2,1483.53,0
TXN-00021346,2024-01-01,Anti-inflammatory,ANT-06,North,Distributor,Specialty Centers,50,50.46,2523.22,0.196,494.47,2028.74,1
TXN-00007632,2024-01-01,Allergy,ALL-05,South,Distributor,Retail Chains,47,61.85,2907.14,0.2226,647.05,2260.09,1
TXN-00013367,2024-01-01,Neurology,NEU-06,Central,Distributor,Specialty Centers,23,46.94,1079.69,0.1836,198.28,881.41,0
TXN-00018026,2024-01-01,Respiratory,RES-02,Central,Hospital,Retail Chains,22,37.48,824.54,0.0754,62.18,762.36,0
TXN-00014824,2024-01-01,ENT,ENT-07,North,Distributor,Tier-2 Clinics,40,66.64,2665.75,0.2106,561.4,2104.34,0
TXN-00003023,2024-01-01,Probiotics,PRO-01,North,Online,Retail Chains,5,35.98,179.88,0.1017,18.29,161.59,0
TXN-00019580,2024-01-01,Fertility,FER-06,East,Retail,Independent Pharmacies,20,71.94,1438.84,0.2359,339.47,1099.38,1
TXN-00024331,2024-01-01,Neurology,NEU-01,West,Distributor,Tier-1 Hospitals,28,43.16,1208.44,0.1757,212.36,996.07,0
TXN-00004432,2024-01-01,Gastrointestinal,GAS-03,South,Hospital,Tier-2 Clinics,18,31.63,569.35,0.083,47.24,522.1,0
TXN-00013411,2024-01-01,Cardiology,CAR-02,West,Distributor,Tier-1 Hospitals,17,85.68,1456.6,0.1419,206.75,1249.86,0
TXN-00019739,2024-01-01,Immunology,IMM-07,East,Retail,Tier-2 Clinics,30,43.12,1293.5,0.1713,221.55,1071.95,0
TXN-00018412,2024-01-01,Hypertension,HYP-01,West,Retail,Independent Pharmacies,29,65.33,1894.6,0.1199,227.19,1667.4,0
TXN-00018042,2024-01-01,Neurology,NEU-04,West,Retail,Tier-1 Hospitals,29,53.24,1544.06,0.1944,300.15,1243.91,1
TXN-00006355,2024-01-01,Hepatology,HEP-08,North,Hospital,Tier-2 Clinics,41,192.76,7903.29,0.38,3003.25,4900.04,1
TXN-00019678,2024-01-01,Allergy,ALL-04,South,Retail,Tier-1 Hospitals,29,52.77,1530.25,0.0705,107.92,1422.33,0
TXN-00020704,2024-01-01,Wound Care,WOU-01,West,Retail,Tier-2 Clinics,30,93.68,2810.5,0.0735,206.54,2603.96,0
TXN-00006255,2024-01-01,Nephrology,NEP-02,North,Retail,Independent Pharmacies,25,151.94,3798.41,0.1486,564.28,3234.13,0
TXN-00021258,2024-01-02,Antihistamines,ANT-05,Central,Government,Independent Pharmacies,39,54.38,2120.68,0.1688,358.05,1762.62,0
TXN-00006333,2024-01-02,Antifungals,ANT-08,Central,Government,Retail Chains,47,62.02,2914.75,0.1365,397.73,2517.02,0
TXN-00019672,2024-01-02,Antifungals,ANT-01,Central,Hospital,Tier-1 Hospitals,18,64.78,1166.09,0.2678,312.31,853.78,0
TXN-00014621,2024-01-02,Neurology,NEU-08,West,Hospital,Independent Pharmacies,30,48.32,1449.56,0.211,305.79,1143.76,0
TXN-00012155,2024-01-02,Respiratory,RES-05,West,Distributor,Retail Chains,25,36.56,913.92,0.0912,83.33,830.59,0
TXN-00016517,2024-01-02,Respiratory,RES-04,South,Retail,Public Health,14,41.68,583.5,0.235,137.11,446.39,0
TXN-00001298,2024-01-02,ENT,ENT-01,South,Distributor,Tier-2 Clinics,54,55.84,3015.46,0.38,1145.87,1869.58,0
TXN-00008455,2024-01-02,ENT,ENT-08,South,Distributor,Tier-2 Clinics,47,62.06,2916.74,0.2111,615.75,2300.98,0
TXN-00007103,2024-01-02,Rheumatology,RHE-02,South,Hospital,Tier-1 Hospitals,27,64.45,1740.04,0.1513,263.2,1476.84,1
TXN-00018779,2024-01-02,Respiratory,RES-02,South,Online,Specialty Centers,17,47.43,806.31,0.38,306.4,499.91,0
TXN-00024185,2024-01-02,Antivirals,ANT-07,Central,Retail,Retail Chains,7,37.11,259.78,0.1696,44.05,215.73,0
TXN-00015947,2024-01-02,Anesthesia,ANE-02,North,Hospital,Public Health,17,40.1,681.66,0.1528,104.16,577.5,0
TXN-00024660,2024-01-02,Oncology Support,ONC-07,North,Retail,Retail Chains,1,45.88,45.88,0.1502,6.89,38.99,0
TXN-00004040,2024-01-02,Minerals,MIN-02,South,Retail,Tier-1 Hospitals,10,68.39,683.86,0.1362,93.14,590.72,0
