drug_category,total_net_sales,total_units,transaction_count,avg_order_value,avg_discount_rate,campaign_share,revenue_volatility,average_monthly_sales,growth_rate,cluster,segment_label
Allergy,896015.6,18936,638,1404.4131661442007,0.1895575235109718,0.1206896551724138,9735.639194360634,37333.98333333333,-0.08892556552261642,2,High-value growing categories
Analgesics,1032396.63,11394,879,1174.512662116041,0.18658782707622298,0.15813424345847554,8129.688552577074,43016.52625,0.13785687018099227,2,High-value growing categories
Anesthesia,141144.83,4447,383,368.52436031331587,0.18733524804177545,0.13838120104438642,2511.4768490636,5881.034583333333,-0.4091280733187197,1,Campaign-responsive categories
Anti-inflammatory,377451.01,9239,288,1310.5937847222222,0.19211423611111111,0.1284722222222222,4740.1279014150805,15727.125416666668,-0.07770898562841105,1,Campaign-responsive categories
Anti-malarial,347902.96,11974,298,1167.4595973154362,0.19758154362416108,0.17114093959731544,4762.624594292764,14495.956666666667,0.09432446510752061,1,Campaign-responsive categories
Anti-tubercular,212797.16,3229,109,1952.2675229357799,0.19858256880733943,0.1926605504587156,5522.504755743851,9252.050434782608,0.4958345355805183,1,Campaign-responsive categories
Antibiotics,934264.01,23712,1031,906.172657613967,0.1907662463627546,0.1726479146459748,13086.066342457696,38927.667083333334,-0.29426790409885345,2,High-value growing categories
Anticoagulants,115155.2,4167,702,164.03874643874644,0.18934102564102562,0.15242165242165243,1738.622392377184,4798.133333333333,-0.32602550111939704,1,Campaign-responsive categories
Antidiabetics,1506677.29,18808,624,2414.546939102564,0.1998366987179487,0.18269230769230768,16311.853637810245,62778.22041666667,-0.2381168004088352,2,High-value growing categories
Antifungals,863503.46,18247,690,1251.4542898550724,0.19157434782608693,0.1608695652173913,8353.813083031333,35979.31083333333,-0.2025319364665134,2,High-value growing categories
Antihistamines,1338925.58,27465,1076,1244.3546282527882,0.18596310408921934,0.1533457249070632,18316.961947210704,55788.565833333334,-0.376423362589854,2,High-value growing categories
Antiplatelets,61448.11,2930,83,740.3386746987952,0.1850734939759036,0.1686746987951807,1447.2320383861133,2671.656956521739,0.3368002685773801,1,Campaign-responsive categories
Antivirals,161346.7,5819,726,222.24063360881544,0.1895831955922865,0.16804407713498623,1221.189409248272,6722.779166666667,-0.010496556183567048,1,Campaign-responsive categories
Bone Health,5286.6,72,6,881.1,0.14125000000000001,0.0,375.29663584956364,881.1,-0.16001141596216015,0,Niche low-volume categories
Cardiology,700555.89,10895,907,772.3879713340684,0.19108654906284453,0.1631753031973539,4146.937209766004,29189.82875,-0.03475364004440183,1,Campaign-responsive categories
Cough Cold,313417.24,4385,436,718.8468807339449,0.1909479357798165,0.1559633027522936,4164.231708712818,13059.051666666666,0.02114475752981733,1,Campaign-responsive categories
Critical Care,39775.45,1397,144,276.2184027777778,0.18369722222222223,0.1111111111111111,1043.6682320524426,1657.3104166666665,-0.2962977716555129,1,Campaign-responsive categories
Dental Care,26403.86,749,185,142.72356756756756,0.19002054054054052,0.14594594594594595,449.15010967978435,1100.1608333333334,-0.10704799293974755,1,Campaign-responsive categories
Dermatology,181823.36,6272,400,454.55839999999995,0.18841325,0.1625,2113.8166099810755,7575.973333333334,0.17415753849067792,1,Campaign-responsive categories
Diagnostic Aids,3024370.28,26056,434,6968.595115207373,0.18271059907834103,0.1543778801843318,32076.253005454884,126015.42833333334,0.1917501348986043,2,High-value growing categories
Diuretics,29690.52,828,105,282.76685714285713,0.18014095238095237,0.14285714285714285,454.5737183335666,1290.8921739130435,-0.1683094266704954,1,Campaign-responsive categories
ENT,1836481.86,36070,800,2295.6023250000003,0.188330625,0.17,15825.379912790127,76520.0775,0.24129157176221527,2,High-value growing categories
Emergency Care,115733.74,3156,363,318.8257300275482,0.19142121212121213,0.15426997245179064,1748.2561949427773,4822.239166666667,-0.325198757737909,1,Campaign-responsive categories
Endocrinology,439760.04,15566,706,622.8895750708215,0.18549943342776204,0.17422096317280453,4168.950417314421,18323.335,-0.0016693348335050948,1,Campaign-responsive categories
Fertility,723205.96,13691,407,1776.9188206388205,0.1869169533169533,0.16461916461916462,8991.727988438894,30133.581666666665,0.20630630484965123,1,Campaign-responsive categories
Gastrointestinal,382888.79,14870,530,722.431679245283,0.19305094339622642,0.1641509433962264,3844.6955474596866,15953.699583333333,0.08734818445000576,1,Campaign-responsive categories
Geriatrics,353404.35,11482,277,1275.82797833935,0.18347581227436824,0.1588447653429603,3748.6134371655844,14725.18125,0.021356738076001042,1,Campaign-responsive categories
Hepatology,3326780.9,20299,525,6336.725523809524,0.1854912380952381,0.16,35190.275112051466,138615.87083333332,0.10430030544156287,2,High-value growing categories
Hormonal Therapy,277171.45,6539,386,718.0607512953368,0.1976082901554404,0.18652849740932642,2960.042641309308,11548.810416666667,0.015280848715489573,1,Campaign-responsive categories
Hypertension,2167204.5,42366,791,2739.8286978508218,0.19673792667509482,0.168141592920354,20999.477147018453,90300.1875,0.29581920770608916,2,High-value growing categories
Immunology,218367.79,7198,142,1537.801338028169,0.19328732394366197,0.1267605633802817,4849.291070737964,9098.657916666667,0.47538774042093923,1,Campaign-responsive categories
Insulin,426386.26,4367,206,2069.836213592233,0.1864995145631068,0.16990291262135923,5898.871314430243,17766.094166666666,-0.023088785925051192,1,Campaign-responsive categories
Lipid Management,514701.33,6074,1031,499.2253443258972,0.19003045586808923,0.1513094083414161,6440.923845303096,21445.888750000002,-0.30665464253101415,1,Campaign-responsive categories
Liver Care,14825.55,407,35,423.58714285714285,0.18421428571428572,0.22857142857142856,538.2674953769844,823.6416666666668,0.03086109425448589,1,Campaign-responsive categories
Medical Nutrition,27099.67,1045,58,467.2356896551724,0.1916258620689655,0.15517241379310345,620.71913569885,1231.8031818181817,0.3264035423573706,1,Campaign-responsive categories
Minerals,524509.4,8942,363,1444.929476584022,0.18908209366391182,0.1763085399449036,6704.346767567823,21854.558333333334,0.2314458391002797,1,Campaign-responsive categories
Nephrology,652660.1,6059,269,2426.245724907063,0.187735687732342,0.17100371747211895,7427.020637811475,27194.170833333334,-0.23493220245978455,1,Campaign-responsive categories
Neurology,1035750.85,26132,828,1250.9068236714975,0.19201292270531403,0.17632850241545894,10133.691803101769,43156.285416666666,0.17730967485892943,2,High-value growing categories
Oncology Support,213037.71,5744,854,249.45867681498828,0.1889135831381733,0.18266978922716628,2139.224029246835,8876.571249999999,0.34302488379883816,1,Campaign-responsive categories
Ophthalmology,152750.36,5444,284,537.8533802816901,0.18324577464788733,0.15845070422535212,1815.0466782634996,6364.598333333332,0.15504492358673122,1,Campaign-responsive categories
Oral Rehydration,812483.35,17343,498,1631.492670682731,0.18612550200803213,0.1686746987951807,7785.745315439692,33853.472916666666,0.04404754866505215,2,High-value growing categories
Pain Management,22482.04,548,57,394.4217543859649,0.19141929824561404,0.14035087719298245,595.750839176673,936.7516666666667,0.3640718915485787,1,Campaign-responsive categories
Pediatrics,187164.13,3729,112,1671.1083035714287,0.17755,0.1875,4150.336785390438,7798.505416666667,-0.3436629692239267,1,Campaign-responsive categories
Probiotics,108112.41,4259,292,370.2479794520548,0.19560753424657534,0.1815068493150685,1432.9164618018447,4504.68375,0.05848805128683585,1,Campaign-responsive categories
Psychiatry,195769.52,8709,516,379.3982945736434,0.20046627906976744,0.21124031007751937,1992.0347982395044,8157.063333333333,0.028550858652028475,1,Campaign-responsive categories
Rare Disease,19335.81,789,78,247.895,0.18604358974358975,0.14102564102564102,442.01768810923,920.7528571428572,-0.20081795768024907,1,Campaign-responsive categories
Renal Care,18868.1,348,61,309.31311475409836,0.18980983606557378,0.09836065573770492,401.36242080689163,820.3521739130434,0.544858420480357,1,Campaign-responsive categories
Respiratory,795067.59,24057,1163,683.6350730868444,0.18812098022355975,0.15133276010318142,5755.999235074741,33127.816249999996,0.02264598522876547,2,High-value growing categories
Rheumatology,1038387.07,19524,883,1175.9762967157417,0.18593329558323896,0.15288788221970556,10453.674848258108,43266.12791666667,0.24212178789760433,2,High-value growing categories
Sleep Care,81636.18,2037,127,642.8045669291338,0.19467952755905513,0.1889763779527559,2068.1536954050084,3549.3991304347824,-0.25992427821586256,1,Campaign-responsive categories
Smoking Cessation,10075.97,220,26,387.53730769230765,0.1492423076923077,0.038461538461538464,361.77719317018204,671.7313333333334,0.5022858845449668,0,Niche low-volume categories
Urology,89263.3,1418,170,525.0782352941177,0.19032058823529413,0.17058823529411765,1365.7832737836195,3719.304166666667,0.07613500565415368,1,Campaign-responsive categories
Vaccines,27363.41,811,184,148.7141847826087,0.18608586956521742,0.15217391304347827,492.4370380851543,1140.1420833333334,-0.18539009914121804,1,Campaign-responsive categories
Vitamins,721692.48,30593,704,1025.1313636363636,0.19152002840909088,0.1846590909090909,8982.55491744971,30070.52,0.448183687945428,2,High-value growing categories
Weight Management,222956.13,6771,128,1741.844765625,0.17583515625,0.1953125,4724.3915534948155,9289.83875,0.4974284866817184,1,Campaign-responsive categories
Women Health,68796.35,4107,563,122.19600355239788,0.19378188277087033,0.17584369449378331,807.0862168371572,2866.5145833333336,0.25053698436906036,1,Campaign-responsive categories
Wound Care,717318.05,10520,439,1633.9818906605924,0.19043485193621867,0.17539863325740318,11199.796719616012,29888.252083333336,-0.27286589876744766,1,Campaign-responsive categories
