month,drug_category,net_sales,units_sold,transaction_count,avg_discount_rate,campaign_share,month_date,lag_1_sales,lag_2_sales,lag_1_units,lag_1_transaction_count,lag_1_avg_discount_rate,lag_1_campaign_share,rolling_3_sales,rolling_3_units,month_number,time_index
2024-01,Allergy,65721.51,1369,44,0.1907136363636364,0.11363636363636363,2024-01-01,,,,,,,,,1,1
2024-02,Allergy,35837.91,738,21,0.17049999999999998,0.09523809523809523,2024-02-01,65721.51,,1369.0,44.0,0.1907136363636364,0.11363636363636363,65721.51,1369.0,2,2
2024-03,Allergy,42048.9,910,24,0.21047083333333336,0.16666666666666666,2024-03-01,35837.91,65721.51,738.0,21.0,0.17049999999999998,0.09523809523809523,50779.71,1053.5,3,3
2024-04,Allergy,46426.63,994,24,0.20455,0.375,2024-04-01,42048.9,35837.91,910.0,24.0,0.21047083333333336,0.16666666666666666,47869.44,1005.6666666666666,4,4
2024-05,Allergy,28285.47,584,17,0.18503529411764705,0.11764705882352941,2024-05-01,46426.63,42048.9,994.0,24.0,0.20455,0.375,41437.81333333333,880.6666666666666,5,5
2024-06,Allergy,36337.26,769,22,0.20209545454545455,0.13636363636363635,2024-06-01,28285.47,46426.63,584.0,17.0,0.18503529411764705,0.11764705882352941,38920.333333333336,829.3333333333334,6,6
2024-07,Allergy,39520.0,849,25,0.207196,0.24,2024-07-01,36337.26,28285.47,769.0,22.0,0.20209545454545455,0.13636363636363635,37016.45333333334,782.3333333333334,7,7
2024-08,Allergy,40547.57,873,29,0.1842103448275862,0.034482758620689655,2024-08-01,39520.0,36337.26,849.0,25.0,0.207196,0.24,34714.24333333334,734.0,8,8
2024-09,Allergy,25135.68,527,18,0.1888,0.3333333333333333,2024-09-01,40547.57,39520.0,873.0,29.0,0.1842103448275862,0.034482758620689655,38801.61,830.3333333333334,9,9
2024-10,Allergy,36070.69,786,30,0.20398,0.06666666666666667,2024-10-01,25135.68,40547.57,527.0,18.0,0.1888,0.3333333333333333,35067.75,749.6666666666666,10,10
2024-11,Allergy,40472.11,864,31,0.2060516129032258,0.16129032258064516,2024-11-01,36070.69,25135.68,786.0,30.0,0.20398,0.06666666666666667,33917.98,728.6666666666666,11,11
2024-12,Allergy,32450.64,691,27,0.1857111111111111,0.0,2024-12-01,40472.11,36070.69,864.0,31.0,0.2060516129032258,0.16129032258064516,33892.82666666667,725.6666666666666,12,12
2025-01,Allergy,41208.44,890,31,0.1978548387096774,0.06451612903225806,2025-01-01,32450.64,40472.11,691.0,27.0,0.1857111111111111,0.0,36331.14666666667,780.3333333333334,1,13
2025-02,Allergy,46631.59,949,33,0.17011818181818184,0.030303030303030304,2025-02-01,41208.44,32450.64,890.0,31.0,0.1978548387096774,0.06451612903225806,38043.73,815.0,2,14
2025-03,Allergy,30471.93,639,21,0.17496666666666666,0.2857142857142857,2025-03-01,46631.59,41208.44,949.0,33.0,0.17011818181818184,0.030303030303030304,40096.88999999999,843.3333333333334,3,15
2025-04,Allergy,41258.25,879,25,0.191172,0.04,2025-04-01,30471.93,46631.59,639.0,21.0,0.17496666666666666,0.2857142857142857,39437.32,826.0,4,16
2025-05,Allergy,36730.38,775,26,0.1777923076923077,0.15384615384615385,2025-05-01,41258.25,30471.93,879.0,25.0,0.191172,0.04,39453.92333333333,822.3333333333334,5,17
2025-06,Allergy,47179.71,986,33,0.18041515151515153,0.09090909090909091,2025-06-01,36730.38,41258.25,775.0,26.0,0.1777923076923077,0.15384615384615385,36153.52,764.3333333333334,6,18
2025-07,Allergy,44933.94,958,37,0.1913702702702703,0.08108108108108109,2025-07-01,47179.71,36730.38,986.0,33.0,0.18041515151515153,0.09090909090909091,41722.78,880.0,7,19
2025-08,Allergy,20388.59,439,18,0.20485,0.1111111111111111,2025-08-01,44933.94,47179.71,958.0,37.0,0.1913702702702703,0.08108108108108109,42948.01,906.3333333333334,8,20
2025-09,Allergy,26823.01,557,22,0.17381363636363636,0.13636363636363635,2025-09-01,20388.59,44933.94,439.0,18.0,0.20485,0.1111111111111111,37500.746666666666,794.3333333333334,9,21
2025-10,Allergy,22877.79,465,19,0.16266315789473684,0.10526315789473684,2025-10-01,26823.01,20388.59,557.0,22.0,0.17381363636363636,0.13636363636363635,30715.180000000004,651.3333333333334,10,22
2025-11,Allergy,38871.01,835,36,0.20643611111111113,0.05555555555555555,2025-11-01,22877.79,26823.01,465.0,19.0,0.16266315789473684,0.10526315789473684,23363.13,487.0,11,23
2025-12,Allergy,29786.59,610,25,0.16322,0.12,2025-12-01,38871.01,22877.79,835.0,36.0,0.20643611111111113,0.05555555555555555,29523.936666666665,619.0,12,24
2024-01,Analgesics,33205.46,354,37,0.17588108108108108,0.10810810810810811,2024-01-01,,,,,,,,,1,1
2024-02,Analgesics,39828.82,438,38,0.19875,0.13157894736842105,2024-02-01,33205.46,,354.0,37.0,0.17588108108108108,0.10810810810810811,33205.46,354.0,2,2
